#,,,,,,,,
agency_cd,site_no,datetime,timezone,Gage Height [ft],Discharge [cfs],Temperature [degrees C],Turbidity [FNU],Flooding
USGS,14206950,11/2/2015 6:30,PST,3.67,142,,,0
USGS,14206950,11/2/2015 6:45,PST,3.73,149,,,0
USGS,14206950,11/2/2015 7:00,PST,3.75,151,12.8,24.5,0
USGS,14206950,11/2/2015 7:15,PST,3.73,149,,,0
USGS,14206950,11/2/2015 7:30,PST,3.71,147,,,0
USGS,14206950,11/2/2015 7:45,PST,3.69,144,,,0
USGS,14206950,11/2/2015 8:00,PST,3.65,140,12.8,24,0
USGS,14206950,11/2/2015 8:15,PST,3.61,135,,,0
USGS,14206950,11/2/2015 8:30,PST,3.57,131,,,0
USGS,14206950,11/2/2015 8:45,PST,3.54,128,,,0
USGS,14206950,11/2/2015 9:00,PST,3.51,124,12.9,21.4,0
USGS,14206950,11/2/2015 9:15,PST,3.48,121,,,0
USGS,14206950,11/2/2015 9:30,PST,3.44,117,,,0
USGS,14206950,11/2/2015 9:45,PST,3.43,116,,,0
USGS,14206950,11/2/2015 10:00,PST,3.4,113,12.9,19.8,0
USGS,14206950,11/2/2015 10:15,PST,3.38,111,,,0
USGS,14206950,11/2/2015 10:30,PST,3.36,109,,,0
USGS,14206950,11/2/2015 10:45,PST,3.33,106,,,0
USGS,14206950,11/2/2015 11:00,PST,3.3,103,12.8,18.9,0
USGS,14206950,11/2/2015 11:15,PST,3.29,102,,,0
USGS,14206950,11/2/2015 11:30,PST,3.26,98.8,,,0
USGS,14206950,11/2/2015 11:45,PST,3.23,95.9,,,0
USGS,14206950,11/2/2015 12:00,PST,3.2,93.1,13,18,0
USGS,14206950,11/2/2015 12:15,PST,3.18,91.2,,,0
USGS,14206950,11/2/2015 12:30,PST,3.15,88.5,,,0
USGS,14206950,11/2/2015 12:45,PST,3.12,85.7,,,0
USGS,14206950,11/2/2015 13:00,PST,3.09,83,13.1,17.7,0
USGS,14206950,11/2/2015 13:15,PST,3.07,81.3,,,0
USGS,14206950,11/2/2015 13:30,PST,3.05,79.5,,,0
USGS,14206950,11/2/2015 13:45,PST,3.01,76.1,,,0
USGS,14206950,11/2/2015 14:00,PST,3,75.2,13.2,17.7,0
USGS,14206950,11/2/2015 14:15,PST,2.98,73.5,,,0
USGS,14206950,11/2/2015 14:30,PST,2.94,70.2,,,0
USGS,14206950,11/2/2015 14:45,PST,2.93,69.4,,,0
USGS,14206950,11/2/2015 15:00,PST,2.9,67,13.2,17.1,0
USGS,14206950,11/2/2015 15:15,PST,2.89,66.2,,,0
USGS,14206950,11/2/2015 15:30,PST,2.86,63.8,,,0
USGS,14206950,11/2/2015 15:45,PST,2.85,63,,,0
USGS,14206950,11/2/2015 16:00,PST,2.82,60.7,13.1,17.3,0
USGS,14206950,11/2/2015 16:15,PST,2.8,59.2,,,0
USGS,14206950,11/2/2015 16:30,PST,2.79,58.5,,,0
USGS,14206950,11/2/2015 16:45,PST,2.77,57,,,0
USGS,14206950,11/2/2015 17:00,PST,2.75,55.5,13.1,16.3,0
USGS,14206950,11/2/2015 17:15,PST,2.74,54.8,,,0
USGS,14206950,11/2/2015 17:30,PST,2.72,53.3,,,0
USGS,14206950,11/2/2015 17:45,PST,2.71,52.6,,,0
USGS,14206950,11/2/2015 18:00,PST,2.7,51.9,13.1,17.2,0
USGS,14206950,11/2/2015 18:15,PST,2.68,50.5,,,0
USGS,14206950,11/2/2015 18:30,PST,2.68,50.5,,,0
USGS,14206950,11/2/2015 18:45,PST,2.66,49.1,,,0
USGS,14206950,11/2/2015 19:00,PST,2.65,48.4,13,18.1,0
USGS,14206950,11/2/2015 19:15,PST,2.64,47.7,,,0
USGS,14206950,11/2/2015 19:30,PST,2.63,46.9,,,0
USGS,14206950,11/2/2015 19:45,PST,2.62,46.3,,,0
USGS,14206950,11/2/2015 20:00,PST,2.62,46.3,13,17.3,0
USGS,14206950,11/2/2015 20:15,PST,2.6,44.9,,,0
USGS,14206950,11/2/2015 20:30,PST,2.59,44.2,,,0
USGS,14206950,11/2/2015 20:45,PST,2.58,43.5,,,0
USGS,14206950,11/2/2015 21:00,PST,2.58,43.5,12.9,17.3,0
USGS,14206950,11/2/2015 21:15,PST,2.57,42.8,,,0
USGS,14206950,11/2/2015 21:30,PST,2.57,42.8,,,0
USGS,14206950,11/2/2015 21:45,PST,2.56,42.2,,,0
